rank,finalWorth,personName,age,industries,countryOfCitizenship,selfMade,gender,birthYear,gdp_country,life_expectancy_country,total_tax_rate_country,population_country,latitude_country,longitude_country
332,7000,Shapoor Mistry,58.0,Diversified,Ireland,False,M,1964.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
332,7000,J. Christopher Reyes,69.0,Food & Beverage,United States,True,M,1953.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
332,7000,Jude Reyes,67.0,Food & Beverage,United States,True,M,1955.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
332,7000,Don Vultaggio & family,71.0,Food & Beverage,United States,True,M,1952.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
344,6900,Alejandro Bailleres Gual & family,62.0,Diversified,Mexico,False,M,1961.0,"$1,258,286,717,125 ",75.0,55.1,126014024.0,23.634501,-102.552784
344,6900,Edythe Broad & family,87.0,Diversified,United States,False,F,1936.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
344,6900,Pauline MacMillan Keinath,89.0,Food & Beverage,United States,False,F,1934.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
344,6900,Philippe Laffont,55.0,Finance & Investments,United States,True,M,1967.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
344,6900,Liu Jincheng & family,58.0,Technology,China,True,M,1964.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
344,6900,Igor Olenicoff,80.0,Real Estate,United States,True,M,1942.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
344,6900,Sandra Ortega Mera,54.0,Fashion & Retail,Spain,False,F,1968.0,"$1,394,116,310,769 ",83.3,47.0,47076781.0,40.463667,-3.74922
344,6900,Ronda Stryker,68.0,Healthcare,United States,False,F,1954.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
