rank,finalWorth,personName,age,industries,countryOfCitizenship,selfMade,gender,birthYear,gdp_country,life_expectancy_country,total_tax_rate_country,population_country,latitude_country,longitude_country
591,4600,Hank Meijer & family,71.0,Fashion & Retail,United States,False,M,1952.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
591,4600,Mark Meijer & family,65.0,Fashion & Retail,United States,False,M,1957.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
591,4600,Issad Rebrab & family,79.0,Food & Beverage,Algeria,True,M,1944.0,"$169,988,236,398 ",76.7,66.1,43053054.0,28.033886,1.659626
591,4600,Fred Smith,78.0,Logistics,United States,True,M,1944.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
591,4600,Barry Sternlicht,62.0,Finance & Investments,United States,True,M,1960.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
591,4600,Maximilian Viessmann,34.0,Manufacturing,Germany,False,M,1989.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
591,4600,Russ Weiner,52.0,Food & Beverage,United States,True,M,1970.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
591,4600,Xue Min,66.0,Healthcare,China,True,M,1957.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
611,4500,Juan Domingo Beckmann Legorreta & family,55.0,Food & Beverage,Mexico,False,M,1967.0,"$1,258,286,717,125 ",75.0,55.1,126014024.0,23.634501,-102.552784
611,4500,Dietmar Hopp & family,82.0,Technology,Germany,True,M,1940.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
611,4500,Jiang Bin,56.0,Technology,China,True,M,1966.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
611,4500,Joseph Liemandt,54.0,Technology,United States,True,M,1968.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
611,4500,Theo Mueller,83.0,Food & Beverage,Germany,False,M,1940.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
611,4500,N.R. Narayana Murthy,76.0,Technology,India,True,M,1946.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
611,4500,Odd Reitan & family,71.0,Fashion & Retail,Norway,False,M,1951.0,"$403,336,363,636 ",82.8,36.2,5347896.0,60.472024,8.468946
611,4500,Marc Rowan,60.0,Finance & Investments,United States,True,M,1962.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
611,4500,Hussain Sajwani,70.0,Real Estate,United Arab Emirates,True,M,1953.0,"$421,142,267,938 ",77.8,15.9,9770529.0,23.424076,53.847818
611,4500,David Velez & family,41.0,Finance & Investments,Colombia,True,M,1981.0,"$1,839,758,040,766 ",75.7,65.1,212559417.0,-14.235004,-51.92528
611,4500,Xu Jinfu,59.0,Manufacturing,China,True,M,1964.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
611,4500,You Xiaoping & family,65.0,Manufacturing,China,True,M,1958.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
624,4400,Stéphane Bancel,50.0,Healthcare,France,True,M,1972.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
624,4400,Margot Birmingham Perot,89.0,Technology,United States,False,F,1933.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
624,4400,Neal Blue & family,88.0,Manufacturing,United States,True,M,1935.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
624,4400,Jim Davis,63.0,Service,United States,True,M,1960.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
624,4400,Rafael Del Pino,64.0,Construction & Engineering,Spain,False,M,1958.0,"$1,394,116,310,769 ",83.3,47.0,47076781.0,40.463667,-3.74922
624,4400,Peter Grogg,81.0,Healthcare,Switzerland,True,M,1942.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
624,4400,Christian Haub,58.0,Fashion & Retail,Germany,False,M,1964.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
624,4400,Mangal Prabhat Lodha,67.0,Real Estate,India,True,M,1955.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
624,4400,Jeffrey Lurie & family,71.0,Sports,United States,False,M,1951.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
624,4400,Joe Mansueto,66.0,Finance & Investments,United States,True,M,1956.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
624,4400,Qian Dongqi & family,65.0,Manufacturing,China,True,M,1958.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
624,4400,Mikhail Shelkov,54.0,Metals & Mining,Russia,True,M,1968.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
636,4300,Patrick Drahi,59.0,Telecom,France,True,M,1963.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
636,4300,Behdad Eghbali,46.0,Finance & Investments,United States,True,M,1976.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
636,4300,Juan Carlos Escotet,63.0,Finance & Investments,Venezuela,True,M,1959.0,"$1,394,116,310,769 ",83.3,47.0,47076781.0,40.463667,-3.74922
636,4300,Jose E. Feliciano,49.0,Finance & Investments,United States,True,M,1973.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
636,4300,Hu Kaijun,61.0,Healthcare,China,True,M,1962.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
636,4300,Johnelle Hunt,91.0,Logistics,United States,True,F,1932.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
636,4300,Marian Ilitch,90.0,Food & Beverage,United States,True,F,1933.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
636,4300,Daryl Katz,61.0,Diversified,Canada,True,M,1961.0,"$1,736,425,629,520 ",81.9,24.5,36991981.0,56.130366,-106.346771
636,4300,Andrei Kozitsyn,62.0,Metals & Mining,Russia,True,M,1960.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
636,4300,Timur Kulibaev,56.0,Finance & Investments,Kazakhstan,True,M,1966.0,"$180,161,741,180 ",73.2,28.4,18513930.0,48.019573,66.923684
636,4300,Dinara Kulibaeva,55.0,Finance & Investments,Kazakhstan,False,F,1967.0,"$180,161,741,180 ",73.2,28.4,18513930.0,48.019573,66.923684
636,4300,Gwendolyn Sontheim Meyer,61.0,Food & Beverage,United States,False,F,1961.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
636,4300,Jay Paul,75.0,Real Estate,United States,True,M,1947.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
636,4300,Pham Nhat Vuong,54.0,Diversified,Vietnam,True,M,1968.0,"$261,921,244,843 ",75.3,37.6,96462106.0,14.058324,108.277199
636,4300,Jon Stryker,64.0,Healthcare,United States,False,M,1958.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
636,4300,Frank Wang,42.0,Technology,China,True,M,1980.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
636,4300,Wang Junshi & family,74.0,Manufacturing,China,True,M,1949.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
636,4300,Wang Wenjing,58.0,Technology,China,True,M,1964.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
636,4300,Herbert Wertheim,83.0,Finance & Investments,United States,True,M,1939.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Shari Arison,65.0,Service,Israel,False,F,1957.0,"$395,098,666,122 ",82.8,25.3,9053300.0,31.046051,34.851612
659,4200,Pyotr Aven,68.0,Finance & Investments,Russia,True,M,1955.0,"$34,117,202,555 ",74.7,38.1,1912789.0,56.879635,24.603189
659,4200,Chan Laiwa & family,82.0,Real Estate,China,True,F,1941.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
659,4200,Chen Hua,57.0,Real Estate,China,True,M,1966.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
659,4200,Thomas Hagen,87.0,Finance & Investments,United States,False,M,1936.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,"Rupert Johnson, Jr.",82.0,Finance & Investments,United States,False,M,1940.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Dewi Kam,72.0,Energy,Indonesia,True,F,1950.0,"$1,119,190,780,753 ",71.5,30.1,270203917.0,-0.789275,113.921327
659,4200,Min Kao & family,74.0,Technology,United States,True,M,1949.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Marc Ladreit de Lacharriere,82.0,Finance & Investments,France,True,M,1940.0,"$2,715,518,274,227 ",82.5,60.7,67059887.0,46.227638,2.213749
659,4200,Eric Lefkofsky,53.0,Technology,United States,True,M,1969.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Lin Bin,55.0,Technology,United States,True,M,1968.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
659,4200,Lin Li,59.0,Finance & Investments,China,True,M,1963.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
659,4200,Michael Moritz,68.0,Technology,United States,True,M,1954.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Jean (Gigi) Pritzker,60.0,Service,United States,False,F,1962.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,E. Joe Shoen,73.0,Automotive,United States,False,M,1949.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Jeff Skoll,58.0,Technology,United States,True,M,1965.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Lynsi Snyder,40.0,Food & Beverage,United States,False,F,1982.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
659,4200,Djoko Susanto,73.0,Fashion & Retail,Indonesia,True,M,1950.0,"$1,119,190,780,753 ",71.5,30.1,270203917.0,-0.789275,113.921327
659,4200,Tahir & family,71.0,Diversified,Indonesia,True,M,1952.0,"$1,119,190,780,753 ",71.5,30.1,270203917.0,-0.789275,113.921327
659,4200,Peter Thiel,55.0,Finance & Investments,United States,True,M,1967.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Andrej Babis,68.0,Food & Beverage,Czech Republic,True,M,1954.0,"$246,489,245,495 ",79.0,46.1,10669709.0,49.817492,15.472962
679,4100,Danielle Bellon & family,83.0,Service,France,False,F,1940.0,"$2,715,518,274,227 ",82.5,60.7,67059887.0,46.227638,2.213749
679,4100,Hubert Burda,83.0,Media & Entertainment,Germany,False,M,1940.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
679,4100,Nick Caporella,87.0,Food & Beverage,United States,True,M,1936.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,John Catsimatidis,74.0,Energy,United States,True,M,1948.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Scott Cook,70.0,Technology,United States,True,M,1952.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Luca Garavoglia,54.0,Food & Beverage,Italy,False,M,1969.0,"$2,001,244,392,042 ",82.9,59.1,60297396.0,41.87194,12.56738
679,4100,Antti Herlin,66.0,Manufacturing,Finland,False,M,1956.0,"$268,761,201,365 ",81.7,36.6,5520314.0,61.92411,25.748151
679,4100,Hong Jie,55.0,Manufacturing,China,True,M,1967.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
679,4100,"Jeremy Jacobs, Sr. & family",83.0,Service,United States,False,M,1940.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Igor Kesaev,56.0,Fashion & Retail,Russia,True,M,1966.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
679,4100,Mary Alice Dorrance Malone,73.0,Food & Beverage,United States,False,F,1950.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Joao Moreira Salles,61.0,Diversified,Brazil,False,M,1962.0,"$1,839,758,040,766 ",75.7,65.1,212559417.0,-14.235004,-51.92528
679,4100,Walther Moreira Salles Junior,66.0,Finance & Investments,Brazil,False,M,1956.0,"$1,839,758,040,766 ",75.7,65.1,212559417.0,-14.235004,-51.92528
679,4100,Arturo Moreno,76.0,Sports,United States,True,M,1946.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Peter Spuhler,63.0,Manufacturing,Switzerland,True,M,1959.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
679,4100,Donald Sterling,88.0,Real Estate,United States,True,M,1934.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Kerry Stokes,82.0,Diversified,Australia,True,M,1940.0,"$1,392,680,589,329 ",82.7,47.4,25766605.0,-25.274398,133.775136
679,4100,Ken Xie,60.0,Technology,United States,True,M,1963.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
679,4100,Liangzhi Xie & family,57.0,Healthcare,China,True,M,1966.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
699,4000,Sid Bass,80.0,Energy,United States,False,M,1942.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Ben Chestnut,48.0,Technology,United States,True,M,1974.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Elisabeth DeLuca & family,75.0,Food & Beverage,United States,False,F,1947.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Guangchang Guo,56.0,Diversified,China,True,M,1967.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
699,4000,Vinod Rai Gupta,77.0,Manufacturing,India,False,F,1945.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
699,4000,John Henry,73.0,Sports,United States,True,M,1949.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Travis Kalanick,46.0,Technology,United States,True,M,1976.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Koon Poh Keong,61.0,Manufacturing,Malaysia,True,M,1961.0,"$364,701,517,788 ",76.0,38.7,32447385.0,4.210484,101.975766
699,4000,Dan Kurzius,51.0,Technology,United States,True,M,1971.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Paul Lee,65.0,Manufacturing,United States,True,M,1958.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
699,4000,Tobi Lutke,42.0,Technology,Canada,True,M,1980.0,"$1,736,425,629,520 ",81.9,24.5,36991981.0,56.130366,-106.346771
699,4000,Gail Miller,79.0,Automotive,United States,True,F,1943.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Rajan Mittal,63.0,Telecom,India,False,M,1960.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
699,4000,Rakesh Mittal,67.0,Telecom,India,False,M,1955.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
699,4000,Isaac Perlmutter,80.0,Media & Entertainment,United States,True,M,1942.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,"Bernard Saul, II.",90.0,Finance & Investments,United States,False,M,1932.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Shaul Shani,68.0,Telecom,Israel,True,M,1955.0,"$2,001,244,392,042 ",82.9,59.1,60297396.0,41.87194,12.56738
699,4000,Steven Spielberg,76.0,Media & Entertainment,United States,True,M,1946.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
699,4000,Jerzy Starak,75.0,Healthcare,Poland,True,M,1947.0,"$592,164,400,688 ",77.6,40.8,37970874.0,51.919438,19.145136
699,4000,Torbjorn Tornqvist,69.0,Energy,Sweden,True,M,1953.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
699,4000,Rufino Vigil Gonzalez,74.0,Metals & Mining,Mexico,True,M,1948.0,"$1,258,286,717,125 ",75.0,55.1,126014024.0,23.634501,-102.552784
699,4000,Zhang Daocai,73.0,Diversified,China,True,M,1950.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
721,3900,Juergen Blickle,76.0,Manufacturing,Germany,False,M,1947.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
721,3900,"Austen Cargill, II.",72.0,Food & Beverage,United States,False,M,1951.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
721,3900,"James Cargill, II.",73.0,Food & Beverage,United States,False,M,1949.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
721,3900,Vanich Chaiyawan,91.0,Finance & Investments,Thailand,True,M,1932.0,"$543,649,976,166 ",76.9,29.5,69625582.0,15.870032,100.992541
721,3900,Chen Dongsheng,65.0,Finance & Investments,China,True,M,1957.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
721,3900,Mong-Koo Chung,85.0,Automotive,South Korea,False,M,1938.0,"$2,029,000,000,000 ",82.6,33.2,51709098.0,35.907757,127.766922
721,3900,Giuseppe De'Longhi & family,83.0,Fashion & Retail,Italy,False,M,1939.0,"$2,001,244,392,042 ",82.9,59.1,60297396.0,41.87194,12.56738
721,3900,Guenther Fielmann & family,83.0,Healthcare,Germany,True,M,1939.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
721,3900,W. Herbert Hunt,94.0,Energy,United States,False,M,1929.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
721,3900,James Irsay,63.0,Sports,United States,False,M,1959.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
721,3900,Somurai Jaruphnit,65.0,Diversified,Thailand,False,F,1958.0,"$543,649,976,166 ",76.9,29.5,69625582.0,15.870032,100.992541
721,3900,Marianne Liebmann,69.0,Food & Beverage,United States,False,F,1953.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
721,3900,Jorge Moll Filho & family,78.0,Healthcare,Brazil,True,M,1945.0,"$1,839,758,040,766 ",75.7,65.1,212559417.0,-14.235004,-51.92528
721,3900,Fernando Roberto Moreira Salles,76.0,Diversified,Brazil,False,M,1946.0,"$1,839,758,040,766 ",75.7,65.1,212559417.0,-14.235004,-51.92528
721,3900,Pedro Moreira Salles,63.0,Diversified,Brazil,False,M,1959.0,"$1,839,758,040,766 ",75.7,65.1,212559417.0,-14.235004,-51.92528
721,3900,Gabe Newell,60.0,Gambling & Casinos,United States,True,M,1962.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
721,3900,Alfred Oetker,56.0,Fashion & Retail,Germany,False,M,1967.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
721,3900,Carl Ferdinand Oetker,50.0,Fashion & Retail,Germany,False,M,1972.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
721,3900,Julia Oetker,44.0,Fashion & Retail,Germany,False,F,1979.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
721,3900,Ruan Hongliang & family,62.0,Manufacturing,China,True,M,1961.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
721,3900,Mark Stevens,63.0,Finance & Investments,United States,True,M,1960.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
721,3900,Nusli Wadia,79.0,Food & Beverage,India,False,M,1944.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
721,3900,Wu Yiling,73.0,Healthcare,China,True,M,1949.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
721,3900,Yu Renrong,57.0,Manufacturing,China,True,M,1966.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
721,3900,Zhu Baoguo & family,60.0,Healthcare,China,True,M,1962.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
748,3800,Rahul Bhatia,63.0,Service,India,False,M,1959.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
748,3800,Francesco Gaetano Caltagirone,80.0,Construction & Engineering,Italy,True,M,1943.0,"$2,001,244,392,042 ",82.9,59.1,60297396.0,41.87194,12.56738
748,3800,Barry Diller,81.0,Media & Entertainment,United States,True,M,1942.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Wesley Edens,61.0,Finance & Investments,United States,True,M,1961.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Stephen Feinberg,63.0,Finance & Investments,United States,True,M,1960.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Rakesh Gangwal,69.0,Service,United States,True,M,1953.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Joseph Grendys,61.0,Food & Beverage,United States,True,M,1961.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Martha Ingram & family,87.0,Media & Entertainment,United States,False,F,1935.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Li Xiang,41.0,Automotive,China,True,M,1981.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
748,3800,"H. Ross Perot, Jr.",64.0,Real Estate,United States,False,M,1958.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Chandru Raheja,82.0,Real Estate,India,False,M,1940.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
748,3800,Trevor Rees-Jones,71.0,Energy,United States,True,M,1951.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Yasumitsu Shigeta,58.0,Telecom,Japan,True,M,1965.0,"$5,081,769,542,380 ",84.2,46.7,126226568.0,36.204824,138.252924
748,3800,Su Qingcan,54.0,Healthcare,China,True,M,1969.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
748,3800,Steven Udvar-Hazy,77.0,Service,United States,True,M,1946.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Elizabeth Uihlein,77.0,Manufacturing,United States,True,F,1945.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
748,3800,Richard Uihlein,77.0,Manufacturing,United States,True,M,1945.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Hayes Barnard,51.0,Finance & Investments,United States,True,M,1972.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,William Berkley,76.0,Finance & Investments,United States,True,M,1946.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Charles Cohen,71.0,Real Estate,United States,False,M,1952.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Yakir Gabay,56.0,Real Estate,Cyprus,True,M,1966.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
766,3700,Huang Li,59.0,Technology,China,True,M,1963.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
766,3700,Brad Jacobs,66.0,Logistics,United States,True,M,1956.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Ji Qi,56.0,Real Estate,China,True,M,1966.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
766,3700,Jason Jiang,50.0,Media & Entertainment,Singapore,True,M,1973.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
766,3700,Jim Kavanaugh,60.0,Technology,United States,True,M,1962.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Richard LeFrak & family,77.0,Real Estate,United States,False,M,1945.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Mikhail Lomtadze,47.0,Finance & Investments,Georgia,True,M,1975.0,"$180,161,741,180 ",73.2,28.4,18513930.0,48.019573,66.923684
766,3700,Tom Morris,68.0,Fashion & Retail,United Kingdom,True,M,1954.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
766,3700,Shigenobu Nagamori,78.0,Manufacturing,Japan,True,M,1944.0,"$5,081,769,542,380 ",84.2,46.7,126226568.0,36.204824,138.252924
766,3700,Daniel Och,62.0,Finance & Investments,United States,True,M,1961.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Horst Paulmann & family,88.0,Fashion & Retail,Chile,True,M,1935.0,"$282,318,159,745 ",80.0,34.0,18952038.0,-35.675147,-71.542969
766,3700,Anthony Pritzker,62.0,Service,United States,False,M,1961.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,John Sall,75.0,Technology,United States,True,M,1948.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Howard Schultz,69.0,Food & Beverage,United States,True,M,1953.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Richard Schulze,82.0,Fashion & Retail,United States,True,M,1941.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
766,3700,Yitzhak Tshuva,74.0,Real Estate,Israel,True,M,1948.0,"$395,098,666,122 ",82.8,25.3,9053300.0,31.046051,34.851612
766,3700,Wang Yanqing & family,56.0,Manufacturing,China,True,M,1966.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
787,3600,Rajiv Bajaj,56.0,Diversified,India,False,M,1966.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
787,3600,Sanjiv Bajaj,53.0,Diversified,India,False,M,1969.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
787,3600,Leonid Boguslavsky,71.0,Finance & Investments,Canada,True,M,1951.0,"$2,001,244,392,042 ",82.9,59.1,60297396.0,41.87194,12.56738
787,3600,Jim Coulter,63.0,Finance & Investments,United States,True,M,1959.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
787,3600,Nicolas D'Ieteren,47.0,Automotive,Belgium,False,M,1975.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
787,3600,Bob Gaglardi,82.0,Real Estate,Canada,True,M,1941.0,"$1,736,425,629,520 ",81.9,24.5,36991981.0,56.130366,-106.346771
